Description,Gene_symbol
Immunoglobulin lambda variable 8-61,IGLV8-61
Immunoglobulin lambda variable 4-60,IGLV4-60
Probable non-functional immunoglobulin lambda variable 11-55,IGLV11-55
Immunoglobulin lambda variable 10-54,IGLV10-54
Probable non-functional immunoglobulin lambda variable 1-50,IGLV1-50
Probable non-functional immunoglobulin lambda variable 5-48,IGLV5-48
Immunoglobulin lambda variable 7-46,IGLV7-46
Immunoglobulin lambda variable 1-40,IGLV1-40
Ig lambda chain V-I region NEWM,IGLV1-40
Immunoglobulin lambda variable 5-37,IGLV5-37
Probable non-functional immunoglobulin lambda variable 2-33,IGLV2-33
Ig lambda chain V-IV region Kern,IGLV3-27
Immunoglobulin lambda variable 3-27,IGLV3-27
Immunoglobulin lambda variable 3-25,IGLV3-25
Ig lambda chain V-IV region Hil,IGLV3-25
Ig lambda chain V-II region NEI,IGLV2-23
Immunoglobulin lambda variable 2-23,IGLV2-23
Immunoglobulin lambda variable 3-22,IGLV3-22
Ig lambda chain V-III region SH,IGLV3-19
Immunoglobulin lambda variable 3-19,IGLV3-19
Immunoglobulin lambda variable 2-18,IGLV2-18
Immunoglobulin lambda variable 3-16,IGLV3-16
Immunoglobulin lambda variable 3-12,IGLV3-12
Immunoglobulin lambda variable 3-10,IGLV3-10
Immunoglobulin lambda variable 3-9,IGLV3-9
Immunoglobulin lambda variable 4-3,IGLV4-3
Immunoglobulin lambda constant 7,IGLC7
Ig lambda-7 chain C region,IGLC7
Probable non-functional T cell receptor gamma variable 11,TRGV11
T cell receptor gamma variable 3,TRGV3
T-cell receptor gamma V-gamma-1.1 region,TRGV3
T cell receptor beta variable 4-1,TRBV4-1
Probable non-functional T cell receptor beta variable 7-3,TRBV7-3
T cell receptor beta variable 5-5,TRBV5-5
T cell receptor beta variable 19,TRBV19
T cell receptor beta variable 20-1,TRBV20-1
T cell receptor beta variable 24-1,TRBV24-1
T cell receptor beta variable 25-1,TRBV25-1
Immunoglobulin kappa variable 2-28,IGKV2-28
Immunoglobulin heavy variable 3-64,IGHV3-64
T cell receptor gamma variable 2,TRGV2
Immunoglobulin kappa variable 2D-40,IGKV2D-40
Ig kappa chain V-II region Cum,IGKV2D-40
Immunoglobulin heavy variable 4-4,IGHV4-4
Probable non-functional immunoglobulin kappa variable 2D-24,IGKV2D-24
T cell receptor beta constant 2,TRBC2
Immunoglobulin kappa variable 2-30,IGKV2-30
Ig kappa chain V-II region RPMI 6410,IGKV2-30
Immunoglobulin kappa variable 1D-17,IGKV1D-17
Immunoglobulin kappa variable 1-27,IGKV1-27
Immunoglobulin kappa variable 2D-30,IGKV2D-30
Activating molecule in BECN1-regulated autophagy protein 1,AMBRA1
T cell receptor alpha variable 12-2,TRAV12-2
T cell receptor alpha variable 6,TRAV6
T cell receptor alpha variable 9-1,TRAV9-1
T cell receptor alpha variable 7,TRAV7
T cell receptor alpha variable 36/delta variable 7,TRAV36DV7
T cell receptor alpha variable 23/delta variable 6,TRAV23DV6
T cell receptor alpha variable 18,TRAV18
Platelet endothelial cell adhesion molecule,PECAM1
Epiplakin,EPPK1
Tubulin beta chain,TUBB8
Peptidyl-prolyl cis-trans isomerase A-like 4H,PPIAL4H
sphingosine kinase,SPHK2
Inhibitor of nuclear factor kappa-B kinase subunit epsilon,IKBKE
Inducible I kappa-B kinase,IKBKE
BRISC and BRCA1-A complex member 2,BABAM2
L-Fucosyltransferase,FUT1
Rhodopsin,RHO
Kell blood group antigen,KEL
"Kell blood group, metallo-endopeptidase",KEL
Helt bHLH transcription factor,HELT
Cilia- and flagella-associated protein 70,CFAP70
Immunoglobulin lambda variable 5-45,IGLV5-45
Ig heavy chain V-III region BUT,IGHV3-53
Immunoglobulin heavy variable 3-53,IGHV3-53
receptor protein-tyrosine kinase,MUSK
Immunoglobulin heavy variable 4-30-2,IGHV4-30-2
Carboxypeptidase U,CPB2
Thrombin-activable fibrinolysis inhibitor,CPB2
Carboxypeptidase B2,CPB2
Immunoglobulin kappa variable 3D-15,IGKV3D-15
Immunoglobulin kappa variable 1D-8,IGKV1D-8
T cell receptor alpha variable 30,TRAV30
T cell receptor alpha variable 27,TRAV27
T cell receptor alpha variable 9-2,TRAV9-2
T cell receptor alpha variable 26-1,TRAV26-1
DDB1- and CUL4-associated factor 13,DCAF13
WD repeat and SOF domain-containing protein 1,DCAF13
Cellular tumor antigen p53,TP53
UBX domain-containing protein 8,UBXN8
UBX domain-containing protein 6,UBXN8
Amino acid transporter,SLC1A3
palmitoyl-CoA hydrolase,ACOT2
Interleukin-6 receptor subunit alpha,IL6R
IL-6R 1,IL6R
A-kinase anchor protein 13,AKAP13
AKAP-Lbc,AKAP13
E3 ubiquitin-protein ligase,UBR1
Paralemmin,PALM
Paralemmin-1,PALM
FASLG receptor,FAS
Tumor necrosis factor receptor superfamily member 6,FAS
Apoptosis-mediating surface antigen FAS,FAS
Apo-1 antigen,FAS
Protocadherin-15,PCDH15
ALMS1 centrosome and basal body associated protein,ALMS1
Pyrroline-5-carboxylate reductase 2,PYCR2
Ubiquitin-like-containing PHD and RING finger domains protein,UHRF1
Ubiquitin-like PHD and RING finger domain-containing protein,UHRF1
RING-type E3 ubiquitin transferase UHRF,UHRF1
E3 ubiquitin-protein ligase UHRF,UHRF1
Aromatic-L-amino-acid decarboxylase,DDC
DOPA decarboxylase,DDC
Symplekin,SYMPK
Polo-like kinase,PLK2
Serine/threonine-protein kinase PLK,PLK2
Discs large homolog 6,MPP4
MAGUK p55 subfamily member 4,MPP4
Inhibitor of nuclear factor kappa-B kinase subunit gamma,IKBKG
IkB kinase-associated protein 1,IKBKG
NF-kappa-B essential modifier,IKBKG
NF-kappa-B essential modulator,IKBKG
BK channel subunit beta,KCNMB3
Calcium-activated potassium channel subunit beta,KCNMB3
Charybdotoxin receptor subunit beta,KCNMB3
Slo-beta,KCNMB3
Maxi K channel subunit beta,KCNMB3
K(VCA)beta,KCNMB3
"Calcium-activated potassium channel, subfamily M subunit beta",KCNMB3
T cell receptor beta variable 16,TRBV16
eIF-3 p25,EIF3K
Eukaryotic translation initiation factor 3 subunit K,EIF3K
Eukaryotic translation initiation factor 3 subunit 12,EIF3K
TBC1 domain family member 3D,TBC1D3D
Fragile X messenger ribonucleoprotein,FMR1
Fragile X messenger ribonucleoprotein 1,FMR1
Formyltetrahydrofolate synthetase,MTHFD1L
"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L
Dimethylallyltranstransferase,FDPS
Farnesyl pyrophosphate synthase,FDPS
Farnesyl diphosphate synthase,FDPS
"(2E,6E)-farnesyl diphosphate synthase",FDPS
Geranyltranstransferase,FDPS
non-specific serine/threonine protein kinase,STK4
Nucleoside diphosphate kinase,NME4
Tetratricopeptide repeat protein 28,TTC28
SH3 domain-containing GRB2-like protein B1,SH3GLB1
Endophilin-B1,SH3GLB1
Voltage-dependent P/Q-type calcium channel subunit alpha,CACNA1A
ATP-binding cassette transporter 7,ABCB7
"Iron-sulfur clusters transporter ABCB7, mitochondrial",ABCB7
"ATP-binding cassette sub-family B member 7, mitochondrial",ABCB7
Immunoglobulin kappa variable 2-40,IGKV2-40
Charged multivesicular body protein 2B,CHMP2B
Immunoglobulin heavy variable 3-72,IGHV3-72
plus-end-directed kinesin ATPase,KIF1B
Proto-oncogene tyrosine-protein kinase receptor Ret,RET
small monomeric GTPase,RAB13
T cell receptor alpha chain constant,TRAC
Neural cell adhesion molecule 1,NCAM1
Tafazzin family protein,TAFAZZIN
RNA-binding protein 15,RBM15
One-twenty two protein 1,RBM15
RNA-binding motif protein 15,RBM15
"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",SDHB
Transmembrane protein 237,TMEM237
B-cell lymphoma/leukemia 10,BCL10
B-cell CLL/lymphoma 10,BCL10
DNA mismatch repair protein MLH1,MLH1
MutL protein homolog 1,MLH1
Protein fantom,RPGRIP1L
Nephrocystin-8,RPGRIP1L
RPGR-interacting protein 1-like protein,RPGRIP1L
DNA polymerase epsilon catalytic subunit,POLE
Laminin-12 subunit alpha,LAMA2
Laminin M chain,LAMA2
Laminin subunit alpha-2,LAMA2
Laminin-2 subunit alpha,LAMA2
Merosin heavy chain,LAMA2
Laminin-4 subunit alpha,LAMA2
"Type 2 lactosamine alpha-2,3-sialyltransferase",ST3GAL6
Sialyltransferase 10,ST3GAL6
"CMP-NeuAc:beta-galactoside alpha-2,3-sialyltransferase VI",ST3GAL6
ST3Gal VI,ST3GAL6
Tenascin-N,TNN
Tenascin-W,TNN
Ras-related protein Rab-44,RAB44
ATP-binding cassette transporter 2,ABCA2
ATP-binding cassette sub-family A member 2,ABCA2
Vacuolar protein sorting-associated protein 11 homolog,VPS11
Protein shisa-8,SHISA8
Shisa family member 8,SHISA8
ATP-dependent RNA helicase,DDX24
Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase,B3GAT2
Vacuolar protein sorting-associated protein VTA1 homolog,VTA1
Never in mitosis A-related kinase 3,NEK3
Serine/threonine-protein kinase Nek3,NEK3
Transporter,SLC6A6
Antigen peptide transporter 2,TAP2
ATP-binding cassette sub-family B member 3,TAP2
JNK MAP kinase scaffold protein 3,MAPK8IP3
C-Jun-amino-terminal kinase-interacting protein 3,MAPK8IP3
DNA polymerase,POLD1
Glutamate receptor,GRIA3
Sialoprotein associated with cones and rods,IMPG1
Interphotoreceptor matrix proteoglycan 1,IMPG1
Seizure 6-like protein 2,SEZ6L2
Dystrobrevin binding protein 1,DTNBP1
Spectrin beta chain,SPTBN2
Cytosolic prostaglandin E2 synthase,PTGES3
Prostaglandin E synthase 3,PTGES3
Slit homolog 2 protein,SLIT2
SET domain bifurcated 2,SETDB2
Histone-lysine N-methyltransferase SETDB2,SETDB2
Transcription factor GATA-4,GATA4
GATA-binding factor 4,GATA4
Signal peptide peptidase-like 2B,SPPL2B
Sialic acid lyase,NPL
Sialate-pyruvate lyase,NPL
Sialic acid aldolase,NPL
Sialate lyase,NPL
N-acetylneuraminate lyase,NPL
N-acetylneuraminic acid aldolase,NPL
N-acetylneuraminate pyruvate-lyase,NPL
ATP-dependent RNA helicase DDX1,DDX1
DEAD box protein 1,DDX1
FXYD domain-containing ion transport regulator,FXYD6-FXYD2
Hepatocyte nuclear factor 1-beta,HNF1B
Transcription factor 2,HNF1B
High mobility group nucleosome-binding domain-containing protein 3,HMGN3
Anion exchange transporter,SLC26A7
Solute carrier family 26 member 7,SLC26A7
BOLA2-SMG1P6 readthrough,BOLA2-SMG1P6
Dynein regulatory complex subunit 4,DRC4
Growth arrest-specific protein 8,DRC4
Receptor-type tyrosine-protein phosphatase Q,PTPRQ
Phosphatidylinositol phosphatase PTPRQ,PTPRQ
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase,PPIP5K2
Double C2-like domain-containing protein beta,DOC2B
Ceroid-lipofuscinosis neuronal protein 5,CLN5
Bis(monoacylglycero)phosphate synthase CLN5,CLN5
S-depalmitoylase CLN5,CLN5
Palmitoyl protein thioesterase CLN5,CLN5
DNA 3'-5' helicase,RECQL4
Synaptosomal-associated protein 47,SNAP47
Synaptosomal-associated 47 kDa protein,SNAP47
LBX1 corepressor 1-like protein,SKOR2
SKI family transcriptional corepressor 2,SKOR2
Functional Smad-suppressing element on chromosome 18,SKOR2
Ladybird homeobox corepressor 1-like protein,SKOR2
Somatotropin receptor,GHR
Growth hormone receptor,GHR
MAP/microtubule affinity-regulating kinase 1,MARK1
Serine/threonine-protein kinase MARK1,MARK1
Probable non-functional T cell receptor beta variable 17,TRBV17
Zona occludens protein 1,TJP1
Zonula occludens protein 1,TJP1
T cell receptor beta variable 18,TRBV18
Neural cell adhesion molecule L1-like protein,CHL1
Close homolog of L1,CHL1
Immunoglobulin kappa variable 2D-29,IGKV2D-29
[histone H3]-trimethyl-L-lysine(27) demethylase,KDM6A
Ig kappa chain C region ROY,IGKC
Ig kappa chain C region EU,IGKC
Immunoglobulin kappa constant,IGKC
Ig kappa chain C region CUM,IGKC
Ig kappa chain C region OU,IGKC
Ig kappa chain C region AG,IGKC
Ig kappa chain C region TI,IGKC
Ig kappa chain C region,IGKC
Transient receptor potential cation channel subfamily V member 3,TRPV3
TBC1 domain family member 3E,TBC1D3E
E3 ubiquitin-protein ligase TRIM15,TRIM15
Zinc finger protein B7,TRIM15
Ubiquitin carboxyl-terminal hydrolase 39,USP39
U4/U6.U5 tri-snRNP-associated 65 kDa protein,USP39
Androgen receptor,AR
Dihydrotestosterone receptor,AR
Nuclear receptor subfamily 3 group C member 4,AR
B-cell surface antigen CD40,CD40
Tumor necrosis factor receptor superfamily member 5,CD40
CD40L receptor,CD40
Corin,CORIN
Pro-ANP-converting enzyme,CORIN
Atrial natriuretic peptide-converting enzyme,CORIN
Lysophospholipase I,LYPLA1
Lysophospholipase 1,LYPLA1
Palmitoyl-protein hydrolase,LYPLA1
Acyl-protein thioesterase 1,LYPLA1
Suppressor of cytokine signaling 7,SOCS7
Elongation factor 1-delta,EEF1D
Agrin,AGRN
Cyclooxygenase-1,PTGS1
Prostaglandin G/H synthase 1,PTGS1
Prostaglandin-endoperoxide synthase 1,PTGS1
Prostaglandin H2 synthase 1,PTGS1
RNA binding protein fox-1 homolog 1,RBFOX1
BRCA1-associated RING domain protein 1,BARD1
RING-type E3 ubiquitin transferase BARD1,BARD1
Proteasome subunit beta,PSMB6
MHC class II transactivator,CIITA
HLA-A29 variant,HLA-A
Contactin associated protein-like 2,CNTNAP2
5'-nucleotidase,NT5C3
Cyclin-dependent kinase 5,CDK5
Tau protein kinase II catalytic subunit,CDK5
Cell division protein kinase 5,CDK5
Serine/threonine-protein kinase PSSALRE,CDK5
Cyclin-dependent-like kinase 5,CDK5
Polypeptide N-acetylgalactosaminyltransferase,GALNT11
Protein-UDP acetylgalactosaminyltransferase,GALNT11
Centaurin-gamma-3,CENTG3
MR1-interacting protein,CENTG3
"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3",CENTG3
CRAM-associated GTPase,CENTG3
Histone-lysine N-methyltransferase EZH2,EZH2
Pituitary adenylate cyclase-activating polypeptide type I receptor,ADCYAP1R1
Immune-associated nucleotide-binding protein 9,GIMAP8
GTPase IMAP family member 8,GIMAP8
Protein IanT,GIMAP8
Nitric oxide synthase,NOS3
Voltage-gated inwardly rectifying potassium channel KCNH2,KCNH2
Ether-a-go-go-related gene potassium channel 1,KCNH2
Voltage-gated potassium channel subunit Kv11.1,KCNH2
Potassium voltage-gated channel subfamily H member 2,KCNH2
Transmembrane and ubiquitin-like domain-containing protein 1,C7orf21
Hepatocyte odd protein shuttling protein,C7orf21
Thiamine pyrophosphokinase,TPK1
Endoplasmic reticulum resident protein 72,ERP70
Protein disulfide-isomerase A4,ERP70
Growth hormone-releasing hormone receptor,GHRHR
Growth hormone-releasing factor receptor,GHRHR
E3 ubiquitin-protein ligase ZNRF2,ZNRF2
Zinc/RING finger protein 2,ZNRF2
RING-type E3 ubiquitin transferase ZNRF2,ZNRF2
Neuropeptide S receptor,GPR154
G-protein coupled receptor 154,GPR154
Ras homolog enriched in brain,RHEB
GTP-binding protein Rheb,RHEB
Cyclin-dependent kinase-like 5,CDKL5
E3 ubiquitin-protein ligase RNF114,RNF114
RING finger protein 114,RNF114
RING-type E3 ubiquitin transferase RNF114,RNF114
Zinc finger protein 313,RNF114
Adenylosuccinate lyase,ADSL
Adenylosuccinase,ADSL
"Cytochrome b-c1 complex subunit 6-like, mitochondrial",UQCRHL
Small integral membrane protein 26,SMIM26
Asparagine-linked glycosylation 13 homolog,ALG13
UDP-N-acetylglucosamine transferase subunit ALG13,ALG13
Tyrosine-protein kinase receptor,ALK fusion
Protein enabled homolog,ENAH
Bone morphogenetic protein 4,BMP4
Tc10/CDC42 GTPase-activating protein,ARHGAP33
Rho-type GTPase-activating protein 33,ARHGAP33
Rho GTPase-activating protein 33,ARHGAP33
Sorting nexin-26,ARHGAP33
Pyrroline-5-carboxylate reductase,PYCR3
Estradiol 17-beta-dehydrogenase,HSD17B1
Semaphorin VIA,SEMA6A
Semaphorin-6A-1,SEMA6A
Semaphorin-6A,SEMA6A
7-oxosteroid reductase,HSD11B1
Corticosteroid 11-beta-dehydrogenase isozyme 1,HSD11B1
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1
Fibroblast growth factor,FGF2
A disintegrin and metalloproteinase with thrombospondin motifs 10,ADAMTS10
Unconventional myosin-10,MYO10
Unconventional myosin-X,MYO10
Mammalian lethal with SEC13 protein 8,MLST8
Target of rapamycin complex subunit LST8,MLST8
G protein beta subunit-like,MLST8
Ubiquitin-specific-processing protease 19,USP19
Ubiquitin carboxyl-terminal hydrolase 19,USP19
Deubiquitinating enzyme 19,USP19
Ubiquitin thioesterase 19,USP19
Fibroblast growth factor receptor,FGFR2
GSTZ1-1,GSTZ1
Maleylacetoacetate isomerase,GSTZ1
Glutathione S-transferase zeta 1,GSTZ1
Cullin-4B,CUL4A
Acyl-CoA (8-3)-desaturase,FADS1
Delta(5) fatty acid desaturase,FADS1
Fatty acid desaturase 1,FADS1
Voltage-dependent L-type calcium channel subunit alpha,CACNA1C
E1A binding protein p400,EP400
Neurexin III-alpha,NRXN3
Neurexin-3-alpha,NRXN3
Neurexin-3,NRXN3
Metallophosphoesterase 1,MPPE1
Post-GPI attachment to proteins factor 5,MPPE1
Connectin,TTN
Titin,TTN
Erythrocyte membrane protein band 4.1 like 3,EPB41L3
MAP kinase-activating death domain protein,MADD
Rab3 GDP/GTP exchange factor,MADD
Rab3 GDP/GTP exchange protein,MADD
BK channel,KCNMA1
Maxi K channel,KCNMA1
BKCA alpha,KCNMA1
Slo1,KCNMA1
Slowpoke homolog,KCNMA1
Calcium-activated potassium channel subunit alpha-1,KCNMA1
"Calcium-activated potassium channel, subfamily M subunit alpha-1",KCNMA1
K(VCA)alpha,KCNMA1
Slo-alpha,KCNMA1
KCa1.1,KCNMA1
G-protein-signaling modulator 1,GPSM1
Activator of G-protein signaling 3,GPSM1
NAD-dependent protein defatty-acylase sirtuin-2,SIRT2
Regulatory protein SIR2 homolog 2,SIRT2
SIR2-like protein 2,SIRT2
NAD-dependent protein deacetylase sirtuin-2,SIRT2
ABPP,APP
Amyloid-beta precursor protein,APP
Amyloid precursor protein,APP
Alzheimer disease amyloid A4 protein homolog,APP
Amyloid-beta (A4) precursor protein,APP
Amyloid-beta A4 protein,APP
CDK5 regulatory subunit-associated protein 2,CDK5RAP2
Astrotactin-2,ASTN2
Sorting nexin,SNX6
Alpha N-catenin,CTNNA2
Catenin alpha-2,CTNNA2
Serine/threonine-protein kinase MRCK alpha,CDC42BPA
CDC42-binding protein kinase alpha,CDC42BPA
Activated protein C cofactor,F5
Coagulation factor V,F5
Caspase 7,CASP7
Unconventional myosin-VI,MYO6
Unconventional myosin-6,MYO6
Small RNA 2'-O-methyltransferase,HENMT1
HEN1 methyltransferase homolog 1,HENMT1
Kynurenine--oxoglutarate transaminase 3,KYAT3
Kynurenine aminotransferase III,KYAT3
Cysteine-S-conjugate beta-lyase 2,KYAT3
Kynurenine--glyoxylate transaminase,KYAT3
Kynurenine aminotransferase 3,KYAT3
Kynurenine--oxoglutarate transaminase III,KYAT3
Ankyrin repeat domain-containing protein 2,ANKRD2
Skeletal muscle ankyrin repeat protein,ANKRD2
Ubiquitin-protein ligase U,UBE2U
E2 ubiquitin-conjugating enzyme U,UBE2U
Ubiquitin-conjugating enzyme E2 U,UBE2U
Ubiquitin carrier protein U,UBE2U
U1 small nuclear ribonucleoprotein C,SNRPC
MAP/microtubule affinity-regulating kinase 2,MARK2
Serine/threonine-protein kinase MARK2,MARK2
ELKL motif kinase 1,MARK2
Forkhead-associated domain histidine triad-like protein,APTX
Aprataxin,APTX
Nuclear factor 1,NFIB
TNFAIP3-interacting protein 1,TNIP1
Nef-associated factor 1,TNIP1
Virion-associated nuclear shuttling protein,TNIP1
A20-binding inhibitor of NF-kappa-B activation 1,TNIP1
Immunoglobulin kappa variable 2D-26,IGKV2D-26
Immunoglobulin kappa variable 3D-11,IGKV3D-11
Immunoglobulin lambda variable 5-52,IGLV5-52
Probable non-functional immunoglobulin lambda variable 3-32,IGLV3-32
Probable non-functional T cell receptor gamma variable 10,TRGV10
Probable non-functional T cell receptor gamma variable,TRGV1
Probable non-functional T cell receptor beta variable 5-3,TRBV5-3
Probable non-functional T cell receptor beta variable 6-7,TRBV6-7
Probable non-functional T cell receptor beta variable 5-7,TRBV5-7
Probable non-functional T cell receptor beta variable 23-1,TRBV23-1
Immunoglobulin heavy constant gamma 1,IGHG1
Ig gamma-1 chain C region EU,IGHG1
Ig gamma-1 chain C region,IGHG1
Ig gamma-1 chain C region KOL,IGHG1
Ig gamma-1 chain C region NIE,IGHG1
Immunoglobulin heavy variable 3-13,IGHV3-13
Ig heavy chain V-III region BRO,IGHV3-13
Ig heavy chain V-II region WAH,IGHV4-39
Immunoglobulin heavy variable 4-39,IGHV4-39
Immunoglobulin heavy variable 1-45,IGHV1-45
Immunoglobulin heavy variable 3-49,IGHV3-49
Mitochondrial fission factor,MFF
ubiquitinyl hydrolase 1,ATXN3
Gelsolin,GSN
Actin-depolymerizing factor,GSN
Multiple epidermal growth factor-like domains protein 11,MEGF11
Phosphodiesterase,PDE1C
Interleukin-15 receptor subunit alpha,IL15RA
Glutathione-S-conjugate-translocating ATPase ABCC1,ABCC1
Multidrug resistance-associated protein 1,ABCC1
ATP-binding cassette sub-family C member 1,ABCC1
